TIVERTON-HAYNE,,,,,,,,,,,,,,,,,,,,
Grid ref,SS952155,Long,-3.4914,Lat,50.9299,Elevation,400,ft,,,,,,,,,,,,
Station no,RR2046,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,5.96,0.21,4.55,2.95,0.69,3.14,5.13,1.25,3.22,5.08,2.78,,,,,
February,,,,,1.44,4.33,2.31,3.04,1.57,2.7,2.41,3.15,2.58,1.31,2.04,,,,,
March,,,,,0.62,3.27,2.22,3.87,2.93,2.51,4.19,4.94,5.33,2.42,3.79,,,,,
April,,,,,1.05,0.5,4.78,5.39,4.46,3.72,3.24,0.55,3.38,1.96,1.81,,,,,
May,,,,2.3,3.37,2.81,3.68,1.51,3.16,2.48,3.7,0.52,2.63,2.04,1.21,,,,,
June,,,,2.91,1.54,5.15,2.06,1.86,0.8,2.93,8.92,4.06,3.66,4.46,1.75,,,,,
July,,,,3.52,3.48,5.82,1.8,3.44,1.31,1.38,2.38,4.57,3.77,1.25,1.13,,,,,
August,,,,3.41,1.79,1.83,4.12,2.24,3.65,5.75,6.32,1.77,1.97,2.69,0.81,,,,,
September,,,,2.75,0.81,0.77,2.53,2.67,4.12,4.81,3.49,2.92,3.76,4.12,4.77,,,,,
October,,,,5.41,-999,6.01,2.27,4.57,2.94,6.25,3.38,1.62,6.8,7.02,2.64,,,,,
November,,,,1.7,-999,1.89,0.91,2.09,2.55,4,2.46,5.37,2.42,4.09,3.32,,,,,
December,,,,3.22,2.87,2.9,5.35,1.07,5.05,5.89,9.79,2.83,3.2,2.5,4.83,,,,,
Total,,,,,30.14,35.49,36.58,34.7,33.23,45.56,55.41,33.55,42.72,38.94,30.88,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1854 Oct Nov bracketed Value 7.21,,,,,,,,,,,,,,,,,,,,
1860 Owing to the gauge being flooded during the rapid thaw on 30 Dec the fall for the last two weeks can only be estimated but the fall for the first two weeks was 5.79in and in the third week there was 8in of snow thawed on 30th Dec by noon then 12 hours rain. This with the snow is estimated in the return at 4in,,,,,,,,,,,,,,,,,,,,
1864 Rainfall 11in below the average of the last 10 years - wind chiefly E or near it to N,,,,,,,,,,,,,,,,,,,,
