STANDING-STONE,,,,,,,,,,
Grid ref,SJ976715,Long,-2.0374196,Lat,53.240521,Elevation,1220,ft.,,
Station no,2723/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.7,3.89,6.45
February,,,,,,,,6.64,0.94,2.91
March,,,,,,,,2.1,2.48,1.76
April,,,,,,,,1.67,2.4,2.3
May,,,,,,,,5.79,0.87,2.29
June,,,,,,,,7.09,2.25,2.41
July,,,,,,,,5.71,3.78,7.06
August,,,,,,,,5.14,1.44,4.33
September,,,,,,,,5.08,0.25,4.57
October,,,,,,,,4.75,4.07,6.65
November,,,,,,,,2.05,5.35,6.48
December,,,,,,,,4.32,6.87,4.7
Total,,,,,,,,55.04,34.59,51.91
,,,,,,,,,,
NGR is from the 1950s record and is near a Standing Stone car park on Standing Stone Road. Altitudes match.,,,,,,,,,,
MIDAS src_id 12138 ends 1978,,,,,,,,,,
