FORT WILLIAM (ALLT'A MHUILINN),,,,,,,,,,
Grid ref,NN148746,Long,-5.036607,Lat,56.825877,Elevation,1000,ft,,
Station no,5728,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,6.19,8,17.16,9.28,4.23,8.05
February,,,,,6.69,4.75,9.5,4.53,5.83,7.95
March,,,,,1.25,4.01,9.26,2.95,7.45,1.7
April,,,,,5,4.53,3.06,5.47,7.45,8.4
May,,,,,4.57,8.25,2.03,7.82,1.6,4
June,,,,,5,4.1,3.75,2.82,7.13,4.95
July,,,,,1.45,8.25,6.21,3.85,8.95,4.3
August,,,,,2.7,5.45,8.37,6.25,7.3,7.93
September,,,,,10.25,8.65,5.48,6.15,3.05,5.02
October,,,,,10,10,13.75,11.7,10.35,2.54
November,,,,13.13,4.02,7,3.45,2.75,12,9.75
December,,,,13.13,13.5,16.76,13.98,7.3,14.8,13.05
Total,,,,,70.62,89.75,96,70.87,90.14,77.64
,,,,,,,,,,
Gauge move Nov 1954,,,,,,,,,,
