RIVER-ALWEN-CRAIG-YR-IYRCHEN,,,,,,,,,,
Grid ref,SH938523,Long,-3.5860292,Lat,53.057365,Elevation,1500,ft.,,
Station no,4297/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.53,6.32,7.08,9.18
February,,,,,,,5.17,9.78,1.1,7.81
March,,,,,,,3.51,1.56,2.72,2.41
April,,,,,,,,1.6,6.5,2.89
May,,,,,,,,4.28,2.17,2.05
June,,,,,,,,4.3,1.68,1.96
July,,,,,,,7.37,5.18,4.2,4.41
August,,,,,,,10.19,4.7,1.4,3.38
September,,,,,,,7.98,8.14,0.3,6.23
October,,,,,,,6.09,3.86,7.02,5.27
November,,,,,,2.45,2.39,2.41,5.98,11.59
December,,,,,,4.49,4.52,4,10.4,6.51
Total,,,,,,,,56.13,50.55,63.69
,,,,,,,,,,
NGR is from the 1950s record and is near Craig-y-Iyrchen.,,,,,,,,,,
Stated altitude is 50 ft too high or the gauge is 100m W to match altitude.,,,,,,,,,,
"MIDAS src_id 11365, ends 1973",,,,,,,,,,
