COWES-STEPHENSON-ROAD-(JAEDCOT-NEW-GAUGE),,,,,,,,,,
Grid ref,SZ496956,Long,-1.2977,Lat,50.7584,Elevation,72,ft,,
Station no,RR3111,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.75,1.9,3.47,0.86,,,,
February,,,1.4,1.77,3.57,0.31,,,,
March,,,2.5,2.65,1.25,5.1,,,,
April,,,1.25,2.61,1.58,1.88,,,,
May,,,1.75,2.47,3.32,0.45,,,,
June,,,2.64,2.75,1.15,3.99,,,,
July,,,1.62,1.95,1.25,0.4,,,,
August,,,4.1,2.9,2.86,2.51,,,,
September,,,1.2,2.33,2.01,2.62,,,,
October,,,2.16,7.64,2.4,2.16,,,,
November,,,3.18,1.6,1.1,4.52,,,,
December,,,1.8,2.5,3.07,0.72,,,,
Total,,,24.35,33.07,27.03,25.52,,,,
,,,,,,,,,,
"Jaedcot, 2 Bernard Road in 1904 - on west side counting from north end",,,,,,,,,,
This was a home made gauge - the observer was a 'technical maker for glass',,,,,,,,,,
These years appear on 2 sheets with major differences in 1902 only so taken to be an overlap year having built a new gauge,,,,,,,,,,
,,,,,,,,,,
1906 Jan Gauge moved 1/4m SW to Stephenson Road,,,,,,,,,,
