LLANDRINDOD-WELLS-bRYNALAIS-TOWN-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO060611,Long,-3.3780406,Lat,52.240033,Elevation,711,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.39,1.7,2.45,7.31,3.88,2.53,1.41,3.83,4.03,1.41,5.36,2.13,,,,,4.58,,,,,,,
February,,,,,,0.25,0.82,3.04,2.94,4.19,3.3,1.01,0.82,2.12,3.44,1.34,2.99,2.09,,,,,2.25,,,,,,,
March,,,,,,2.78,4.49,4.66,1.43,1.68,1.06,3.7,1.71,5.65,1.36,4.87,2.38,1.12,,,,,6.97,,,,,,,
April,,,,,,,1.06,3.57,2.81,3.05,1.89,2.85,1.79,1.89,1.55,3.51,0.91,,,,,,0.48,,,,,,,
May,,,,,,0.62,0.15,1.62,3.29,2.9,3.14,0.94,2.03,4.02,1.94,0.54,2.87,,,,,,1.73,,,,,,,
June,,,,,,0.62,1.29,2.79,2.25,1.5,4.55,2.11,2,3.19,1.27,2.56,2.65,3.77,,,,,4.39,,,,,,,
July,,,,,,3.48,2.46,3.44,1.14,,4.21,2.16,1.29,2.59,1.54,2.69,1.08,,,,,,3.08,,,,,,,
August,,,,,,3.38,2.37,3.98,4.35,1.5,3.84,2.38,2.89,4.95,3.37,6.23,2.6,,,,,,8.29,,,,,,,
September,,,,,,0.72,7.01,3.24,1.25,2.39,1.38,2.15,1.76,3.97,1.98,2.38,1.25,,,,,,5.12,,,,,,,
October,,,,,,4.02,4.33,1.42,5.17,3.27,4.95,2.85,2.79,8.35,1.69,2.67,5.35,,,,,,0.76,,,,,,,
November,,,,,,5.15,1.1,3.07,2.82,3.02,2.64,1.96,2.4,2.14,2.16,2.89,3.25,,,,,,3.22,,,,,,,
December,,,,,,,4.77,5.71,5.53,2.78,5.54,4.54,2.51,3.56,2.96,0.87,3.7,,,,,,5.92,,,,,,,
Total,,,,,,,31.24,38.24,35.43,,40.38,29.18,23.4,46.26,27.29,31.96,34.39,,,,,,46.79,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is building built for the observer, Dr W Bowen Davies, called Brynarlais, subsequently used as the Town Hall. Altitudes match. The observer for the 1912 record has Davies as a surname and may be related to the previous observer who died in 1908. The 1912 record could be another location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
