"CREDITON (HAYWARDS SCHOOL)",,,,,,,,,,,,
Grid ref,SS837001,Long,-3.651297,Lat,50.788768,,,,,,,
Station no,1781,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.95,2.46,0.96,1.97,4.49,3.67,2.30,4.24,4.71,4.15,,
February,5.16,0.97,1.78,2.86,3.34,0.41,5.52,3.88,0.31,3.83,,
March,3.23,2.30,0.76,2.58,1.72,1.63,2.57,1.61,3.73,3.20,,
April,,3.06,1.99,0.30,0.64,0.43,0.06,0.56,3.04,3.50,,
May,2.87,2.08,1.97,2.53,3.79,0.95,1.59,3.73,1.42,1.90,,
June,1.31,1.45,0.99,3.59,3.83,1.81,2.62,3.18,1.54,0.80,,
July,1.40,0.31,1.95,2.51,2.86,5.06,3.29,2.90,1.72,2.99,,
August,3.08,5.67,2.42,2.14,0.72,2.86,2.30,3.01,2.27,4.60,,
September,2.99,3.36,3.61,2.76,1.73,7.41,3.42,3.67,0.30,6.50,,
October,0.94,5.07,2.92,2.10,1.30,2.14,2.03,2.92,4.09,9.96,,
November,6.35,3.79,2.58,7.37,3.41,2.24,2.77,3.34,7.99,3.82,,
December,,4.58,0.91,4.25,6.33,5.02,3.12,4.91,7.66,5.10,,
Total,,35.10,22.84,34.96,34.16,33.63,31.59,37.95,38.78,50.35,,
Calc annual,31.28,35.10,22.84,34.96,34.16,33.63,31.59,37.95,38.78,50.35,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
