"HOY (GRAEMSAY SOUND, HIGH)",,,,,,,,,,,,
Grid ref,HY266060,Long,-3.276921,Lat,58.934935,,,,,,,
Station no,5821,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,4.28,5.24,2.51,2.20,4.89,5.04,5.40,6.00,3.04,,
February,2.79,3.19,2.75,3.59,2.15,1.12,1.77,3.13,1.27,3.22,,
March,4.08,4.59,1.72,2.30,1.61,1.33,4.98,2.69,1.38,1.27,,
April,4.01,0.93,2.72,1.81,0.98,1.56,0.67,1.04,2.90,2.83,,
May,0.38,2.65,2.11,2.26,1.55,2.29,1.33,3.74,2.45,1.22,,
June,2.59,2.47,1.71,3.81,1.03,3.57,2.32,0.79,2.41,1.94,,
July,4.39,1.80,3.34,2.69,0.43,3.27,2.92,1.24,3.76,1.67,,
August,3.07,4.96,2.53,2.31,1.26,2.72,3.60,2.64,2.24,2.06,,
September,1.60,3.84,3.91,5.30,4.72,3.68,3.22,2.08,1.48,2.01,,
October,1.94,3.51,2.20,7.32,4.75,3.79,6.03,5.61,5.37,3.05,,
November,6.74,3.88,4.93,6.32,1.63,3.44,3.93,2.11,4.55,3.06,,
December,6.85,3.42,2.54,6.68,7.58,4.38,6.98,4.49,5.24,4.56,,
Total,41.53,39.52,35.70,46.90,29.89,36.04,42.79,34.96,39.05,29.93,,
Calc annual,41.53,39.52,35.70,46.90,29.89,36.04,42.79,34.96,39.05,29.93,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
