"GLENARAY, NR INVERARY, ARGYLESHIRE",,,,,,,,,,
Grid ref,NN 08816 13945,Long,-5.089805,Lat,56.279346,Elevation,300,ft,,
Station no,RR8285,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,10.8,3.9,,,,
February,,,,,8.8,12.79,,,,
March,,,,,6.3,8.14,,,,
April,,,,,1.5,5.79,,,,
May,,,,,3.55,8.73,,,,
June,,,,,3.7,3.3,,,,
July,,,,,6,5.11,,,,
August,,,,,2.4,4.3,,,,
September,,,,,3.15,10.37,,,,
October,,,,,6.3,5.04,,,,
November,,,,,7,5.99,,,,
December,,,,,5.2,7.09,,,,
Total,,,,,64.7,80.55,,,,
,,,,,,,,,,
https://stataccscot.edina.ac.uk/static/statacc/dist/viewer/nsa-vol7-Parish_record_for_Inverary_in_the_county_of_Argyle_in_volume_7_of_account_2/nsa-vol7-p1-parish-argyle-inverary?search=INVERARY,,,,,,,,,,
,,,,,,,,,,
"The rain-gage used was also of Mr Adie`'s construction,",,,,,,,,,,
"and was placed in the Duke of Argyle's garden, by permission, on",,,,,,,,,,
the top of a wall about twenty feet high. It was removed in Ja-,,,,,,,,,,
"nuary 1834, to Glenaray, about 300 feet above the level of the",,,,,,,,,,
"sea. Both situations were carefully chosen, with a view to ren-",,,,,,,,,,
der the observations as accurate as possible.,,,,,,,,,,
,,,,,,,,,,
See INVERARAY-CASTLE-GDNS,,,,,,,,,,
,,,,,,,,,,
Station no,RR8285,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
