HOLMBRIDGE-RED-CABIN,,,,,,,,,,
Grid ref,SE115036,Long,-1.8279881,Lat,53.528937,Elevation,1550,ft.,,
Station no,3178/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.9,2.37,8.74,6.25,6.45,7.18,9.1
February,,,,3.2,1.4,3.75,4.94,9.31,0.71,
March,,,,2.85,2.95,2.7,5.3,4.05,2.97,2.91
April,,,,0.85,2.13,3.54,0.53,2.34,6.35,4
May,,,,4.17,4.89,2.03,1.93,5.29,2.26,2.5
June,,,,2.82,4.18,3.9,2.1,6.15,2.32,
July,,,,6.9,1.2,9.8,6.59,6.1,5,8.93
August,,,,7.1,1,13.1,7.87,5.21,1.11,6.43
September,,,,6.75,2.88,5.7,8.07,6.03,0.4,4.45
October,,,,10,3.7,4.33,9,5.72,6.52,9.1
November,,,,7.8,3.12,3.26,3.85,1.94,7.05,8.9
December,,,,7,9.35,8.15,7.4,6.67,11.95,7.95
Total,,,,64.34,39.17,69,63.83,65.26,53.82,
,,,,,,,,,,
NGR is from the 1950s record and is Red Cabin.,,,,,,,,,,
"Stated altitude is 25 ft too high. Gauge moved here in Nov 1955 a move of 200m N from Little Twizel Head, which has the stated altitude.",,,,,,,,,,
MIDAS src_id 2682 ends 1984,,,,,,,,,,
