"MARKET DRAYTON (OLD SPRINGS)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2325,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.76,2.46,3.49,2.29,1.99,2.09,2.59,2.20,5.12,1.39,5.02,
February,2.57,0.36,2.51,4.26,0.83,3.59,2.57,1.43,2.27,0.68,0.42,
March,2.18,1.17,2.35,1.53,1.05,0.82,0.52,2.63,1.54,0.55,3.09,
April,5.00,1.53,1.99,1.82,2.42,1.10,1.36,1.88,0.99,0.72,2.68,
May,2.62,1.31,0.96,3.60,4.34,4.79,2.86,1.44,1.18,2.00,1.96,
June,2.54,0.30,0.80,0.50,2.69,0.03,1.45,4.42,4.55,1.89,1.11,
July,5.59,0.70,3.90,3.03,3.88,2.83,2.12,2.44,1.52,1.90,6.22,
August,1.43,3.94,3.25,2.95,3.40,3.49,2.48,4.53,3.35,2.80,3.19,
September,3.23,0.66,2.83,2.91,3.50,4.39,1.54,3.19,1.12,1.46,3.33,
October,2.28,2.72,0.38,3.89,4.33,3.18,2.00,2.45,3.77,4.54,3.97,
November,0.74,2.03,1.07,2.31,1.44,2.20,5.25,3.26,4.01,5.92,2.85,
December,2.58,2.21,4.09,3.98,2.76,1.72,0.79,1.44,2.52,5.08,3.44,
Total,33.52,19.39,27.62,33.07,32.63,30.23,25.53,31.31,31.94,28.93,37.28,
Calc annual,33.52,19.39,27.62,33.07,32.63,30.23,25.53,31.31,31.94,28.93,37.28,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,
