NETHER-STOWEY-OAKFORD-HOUSE,,,,,,,,,,
Grid ref,ST192396,Long,-3.1561,Lat,51.1507,Elevation,250,ft,,
Station no,2085/9/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.52,3.53,2.32,4.22,3.68
February,,,,,,0.18,4.67,3.72,0.23,3.6
March,,,,,,1.06,2.56,0.94,3.33,1.79
April,,,,,,1.43,0.08,0.66,3.14,3.06
May,,,,,,0.65,1.5,2.45,0.87,1.24
June,,,,,,1.86,2.43,3.69,0.64,1.18
July,,,,,,3.22,3.13,1.58,1.99,4.93
August,,,,,,3.35,4.27,3.02,1.97,3.94
September,,,,,,5.23,3.21,3.92,0.1,4.08
October,,,,,,2.14,2.2,1.99,3.79,10.51
November,,,,,,0.82,2.46,3.48,5.78,3.74
December,,,,,,3.81,2.15,5.02,7.23,4.18
Total,,,,,,27.27,32.19,32.79,33.29,45.93
,,,,,,,,,,
Post 1960 known as Nether Stowey SRC_ID 9294,,,,,,,,,,
1956-1971,,,,,,,,,,
