ILKLEY-ST-JAMES-ROAD,,,,,,,,,,
Grid ref,SE112474,Long,-1.8309444,Lat,53.922619,Elevation,325,ft.,,
Station no,RR7556,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.05,1.21,5.65,4.91,1.88,5.09,2.91,3.47,3.28,4.46
February,4.05,3.73,2.31,1.34,2.66,5.11,5.48,0.71,4.62,2.26
March,0.63,1.64,4.76,4.95,4.12,1.12,4.13,3.45,1.71,4.9
April,2.86,1.33,0.67,2.95,1.15,1.55,2.38,2.31,0.8,
May,2.11,0.92,2.64,3.29,1.1,1.67,2.18,2.31,4.34,
June,2.6,3,5.88,1.54,2.66,1.11,1.72,1.67,1.02,
July,3.13,0.9,4.54,0.67,2.87,4.52,1.81,0.93,3.97,
August,5.27,1.95,6.51,1.01,1.82,3.79,2.42,8.29,2.25,
September,0.22,2.98,1.88,1.3,1.57,0.88,2.19,1.54,8.56,
October,4,2.8,3.91,1.98,2.59,1.5,8.29,5.9,3.19,
November,4.54,3.76,2.5,3.26,5.36,2.16,3.87,2.49,1.25,
December,4.09,6.54,4.51,2.26,8.04,6.71,2.53,1.61,6.38,
Total,38.55,30.76,45.76,29.46,35.82,35.21,39.91,34.68,41.37,
,,,,,,,,,,
NGR is St James Road at the stated altitude,,,,,,,,,,
