DAVA STATION,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5682/2,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,2.75,1.18,1.87,1.61,0.62,1.93,1.96,1.21,,
February,,,0.73,0.94,0.51,1.63,3.00,2.40,0.20,1.24,,
March,,,1.71,1.45,1.74,1.44,4.27,2.51,2.52,1.48,,
April,,,3.24,1.92,1.65,1.05,3.85,1.32,0.68,1.31,,
May,,,4.46,2.22,3.23,1.25,1.32,3.20,2.37,4.02,,
June,,,6.45,1.95,1.18,2.09,1.23,3.61,1.69,4.22,,
July,,,2.71,3.05,2.59,4.70,1.96,3.32,1.39,5.84,,
August,,,3.42,2.69,6.34,3.48,0.67,6.04,6.19,5.36,,
September,,,5.83,6.85,2.41,3.53,5.74,3.22,3.07,0.48,,
October,,,3.25,2.88,3.30,1.35,2.85,2.77,2.99,0.48,,
November,,,2.34,4.47,2.17,2.07,3.17,3.39,6.68,3.36,,
December,,,2.10,2.07,2.22,2.50,2.41,2.09,5.27,1.65,,
Total,,,38.99,31.67,29.21,26.70,31.09,35.80,35.01,30.65,,
Calc annual,0.00,0.00,38.99,31.67,29.21,26.70,31.09,35.80,35.01,30.65,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
