"ABBEY ST BATHANS, BERWICKSHIRE",,,,,,,,,,
Grid ref,NT757622,Long,-2.3897074,Lat,55.852382,Elevation,450,ft,,
Station no,RR2226,,,,,,,,,
,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839
January,,,,,,,3.09,2.67,3.33,1.69
February,,,,,,,1.95,1.95,2.52,1.1
March,,,,,,,3.68,2.55,3.08,2.32
April,,,,,,,1.81,3.77,3.8,0.5
May,,,,,,,0.89,1.73,3.63,1.12
June,,,,,,,2.15,2.25,4.63,3.55
July,,,,,,,5.59,5.45,1.25,2.23
August,,,,,,,2.52,3.38,2.19,1.99
September,,,,,,,4.01,1.95,4.9,5.09
October,,,,,,,2.93,1.69,1.05,4.27
November,,,,,,,5.74,1.51,5.03,4.44
December,,,,,,,2.85,2.92,1.42,3.64
Total,,,,,,32.56,37.21,31.82,36.83,31.94
,,,,,,,,,,
"NGR given for Abbey House, right elevation, small village ",,,,,,,,,,
