CLIFTON-GLOUCESTERSHIRE,,,,,,,,,,
Grid ref,ST569740,Long,-2.6218008,Lat,51.463321,Elevation,220,ft,,
Station no,RR6585,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,1.03,,,,,,,
February,,,1.76,,,,,,,
March,,,0.44,,,,,,,
April,,,0.53,,,,,,,
May,,,2.35,,,,,,,
June,,,1.17,,,,,,,
July,,,3.6,,,,,,,
August,,,1.1,,,,,,,
September,,,0.51,,,,,,,
October,,,3.02,,,,,,,
November,,,2.87,,,,,,,
December,,,3.03,,,,,,,
Total,,,21.41,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NGR centred on Clifton,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
