GLASTONBURY-HARTLAKE-FARM,,,,,,,,,,
Grid ref,ST533407,Long,-2.66924,Lat,51.1636,Elevation,25,ft,,
Station no,2011/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.98,1.6,2.55,2.84,2.87,2.07,2.66,4.78
February,,,1.81,2.99,1.56,0.06,3.57,3.35,0.24,2.11
March,,,0.9,3.18,1.19,0.82,2.19,0.83,3.86,1.38
April,,,2.99,0.22,1.62,1.34,0.1,0.76,2.13,1.83
May,,,1.39,1.47,3.06,0.62,2.72,2.23,1.68,1.28
June,,,1.47,,2.6,1.96,2.18,4.13,1.1,3.24
July,,,2.19,3.58,0.44,1.57,4.67,1.27,1.88,3.13
August,,,3.47,5.21,0.94,2.89,2.82,3.49,1.18,5.78
September,,,3.6,3.76,1.58,2.85,2.23,4.77,0.22,4.43
October,,4.03,2.19,3.43,1.54,2.77,3.15,2.9,2.7,5.36
November,,3.48,1.65,6.1,2.94,0.8,1.27,3.07,3.21,3.32
December,,2.92,0.65,3.34,4.32,2.92,,3.18,4.79,4.07
Total,,,23.29,,24.34,21.44,,32.05,25.65,40.71
,,,,,,,,,,
There are two Hartlake Farms marked on the map 1.25 miles apart,,,,,,,,,,
The eastern one matches the elevation and distance to church and NGR matches MIDAS,,,,,,,,,,
1954 June Marked as estimated,,,,,,,,,,
1957 Dec No data,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Hartlake Farm SRC_ID 9357,,,,,,,,,,
1952-1964,,,,,,,,,,
