TEIGNMOUTH-WESTBROOK-(LANDSCORE-VILLA),,,,,,,,,,,,,,,,,,,,
Grid ref,SX937733,Long,-3.501,Lat,50.5505,Elevation,200,ft,, ,,,,,,,,,,
Station no,RR2832,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.07,7.13,4.16,2.78,2.06,2.69,7.5,6.79,3.37,5.63,1.32,7.7,2.08,6.03
February,,,,,,,3.71,3.14,0.89,2.19,3.12,2.39,4.72,3.55,3.35,2.12,3.55,1.27,2.06,6.77
March,,,,,,,4.55,10.22,1.67,2.45,2.53,2.88,3.37,5.33,1.87,1.48,4.07,2.59,1.49,0.55
April,,,,,,,2.96,2.16,2.32,0.74,0.35,4.71,2.99,1.17,2.52,1.61,2.87,6.74,5.64,4.63
May,,,,,,,2.91,5.4,1.56,6.57,1.43,0.31,2.07,1.91,1.19,2.86,0.85,4.01,4.74,3.09
June,,,,,,,0.76,0.33,0.42,0.73,0.1,1.87,3.04,1.09,1.73,3.61,1.22,1.13,2.67,7.32
July,,,,,,,1.26,2.39,0.43,0.31,0.84,3.79,4.05,2.17,1.18,4.38,0.59,2.25,1.72,4.89
August,,,,,,,1.37,1.22,3.57,0.28,0.65,1.41,1.42,4.35,2.02,2.51,3.17,3.89,4.03,6.53
September,,,,,,,13.18,1.49,4.04,2.37,1.39,7.07,3.05,3.01,5.7,4.43,5.55,2.44,1.59,3.43
October,,,,,,,4.81,2.88,1.55,1.92,3.25,3.32,5.19,1.98,8.49,9.11,5.35,2.09,3.6,0.9
November,,,,,,,1.24,0.46,3.46,1.18,2.48,3.44,4.99,4.55,4.41,5.99,5.61,6.97,3.89,0.24
December,,,,,,,2.24,3.52,7.38,4.04,3.42,2.69,7.23,0.51,5.77,1.09,9.62,1.77,3.82,1.13
Total,,,,,,,44.06,40.34,31.45,25.56,21.62,36.57,49.62,36.41,41.6,44.82,43.77,42.85,37.33,45.51
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer is widow of observer at Westbrook,,,,,,,,,,,,,,,,,,,,
1875 Gauge slightly sheltered by trees 70ft distant,,,,,,,,,,,,,,,,,,,,
Observer died Jan 31st 1880 so records end here,,,,,,,,,,,,,,,,,,,,
