LINCOLN - CARHOLME VILLA,,,,,,,,
Grid ref,SK968716,Long,-0.551,Lat,53.233,Elevation,25,ft
Station no,RR2654,,,,,,,
,,,,,,,,
,1877,1878,1879,1880,1881,,,
January,3.15,1.82,1.25,0.22,0.67,,,
February,2.07,1.31,2.97,1.66,3.11,,,
March,1.96,0.56,0.63,1.69,1.99,,,
April,2.50,1.52,2.03,1.54,,,,
May,2.59,3.43,3.57,0.96,,,,
June,1.09,2.33,3.71,3.13,,,,
July,2.78,1.16,3.22,5.00,,,,
August,4.03,8.20,3.03,1.53,,,,
September,2.25,2.18,3.28,3.80,,,,
October,1.23,1.96,0.81,5.57,,,,
November,1.64,3.49,1.40,2.48,,,,
December,1.50,1.75,0.71,2.25,,,,
Total,26.79,29.71,26.61,29.83,,,,
,,,,,,,,
TYRain_1870-1879_06_pt3/042,,,,,,,,
TYRain_1880-1889_08_pt1/047,,,,,,,,
,,,,,,,,
# The gauge moved to Tentercroft Street in late March 1881.,,,,,,,,
