CEFN-COCH,,,,,,,,,,
Grid ref,SJ023007,Long,-3.4437902,Lat,52.595282,Elevation,855,ft.,,
Station no,4250/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,4.99
October,,,,,,,,,,7.13
November,,,,,,,,,,8.44
December,,,,,,,,,,8.65
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s record. Altitudes match but the location is 2 miles SW of place called Cefn Coch.,,,,,,,,,,
"MIDAS src_id 9696 ends 1983 but starts 1961, perhaps based on the first full year",,,,,,,,,,
