TIMBERSCOMBE-GREAT-HOUSE,,,,,,,,,,
Grid ref,SS956422,Long,-3.49368,Lat,51.1695,Elevation,260,ft,,
Station no,2091/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.51,3.91,5.55,5
February,,,,,,,5.68,5.04,0.2,5.09
March,,,,,,,2.83,1.15,3.93,2.34
April,,,,,,,0.1,1.06,4.21,3.08
May,,,,,,,2.02,3.86,1.35,1.29
June,,,,,,,1.53,3.69,2.62,1.67
July,,,,,,,3.53,2.47,2.93,3.9
August,,,,,,2.52,3.26,2.62,4.72,2.51
September,,,,,,5.96,5.29,6.18,0.15,5.04
October,,,,,,2.14,3.13,3.35,4.51,14.02
November,,,,,,1.17,2.86,2.26,7.45,6.83
December,,,,,,6,2.76,4.31,11.02,7.78
Total,,,,,,,36.5,39.9,48.64,58.55
,,,,,,,,,,
Post 1960 known as Timberscombe SRC_ID 9027,,,,,,,,,,
1956-1973,,,,,,,,,,
