WISBECH-TYDD-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF429166,Long,0.114689,Lat,52.72817,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.81,1.69,3.07,1.21,1.83,1.98,1.07,1.38,0.94,1.86,2.49,3.03,2.24,3.89,1.14,2.18,2.28,3.96,1.89,1.34,1.42,1.35,3.38,1.07,0.9,2.25,1.55,1.08,0.88,1.76,3.72,0.97,1.99,2.47,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.59,3.17,0.8,0.33,0.54,1.96,0.29,1.4,0.44,1.42,1.95,2.63,0.65,0.3,1.81,2.58,0.83,0.43,1.29,1.57,2.72,1.01,0.51,0.62,3.24,2.25,0.42,1.16,1.91,1.91,0.64,2.47,2.8,0.1,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.16,1.62,1.17,0.16,1.24,0.04,1.37,2.04,1.36,0.43,0.6,2.59,0.25,1.69,1.42,2.7,1.23,0.71,0.6,0.82,0.49,3.38,0.46,0.78,0.51,3.14,2.34,1.04,2.09,1.4,0.53,1.93,1.14,1.9,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.29,1.56,1.46,0.57,2.2,2.26,2.1,0.87,2.25,2.54,1.56,2.82,0.18,1.51,1.39,0.64,0.64,0.96,1.77,0.91,1.15,2.05,0.71,1.53,2.32,2.77,1.06,1.67,0.29,0.83,0.64,0.06,0.7,1.05,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.3,0.42,1.46,1.45,2.75,2.85,3.36,1.23,0.66,0.71,1.53,3.31,2.02,0.7,0.65,2.43,2.24,2.27,0.92,1.84,1.24,0.27,3.29,1.88,2.43,2.52,2.11,1.92,2.64,2.14,0.75,1.38,3.3,0.48,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.07,3.21,3.09,1.29,0.47,1.48,1.11,3,1.13,3.36,2.67,1.44,0.67,2.12,0.36,0.61,0.6,1.98,2.87,2.08,2.43,2.6,2.02,0.73,1.56,0.7,1.02,3.22,2.43,2.04,2.08,2.25,3.76,0.47,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.41,1.88,2.16,1.36,4.48,3.64,2.66,1.67,1.61,0.46,4.25,2.39,2.02,1.9,3,3.83,2.61,1.06,2.13,0.97,2.35,1.84,1.46,2.33,3.18,0.92,0.35,1.5,2.28,0.28,2.63,2.67,3.24,2.32,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.71,3.12,1.9,1.47,2.11,3.57,3.12,0.59,1.81,0.74,0.72,0.93,1.19,1.55,0.44,3.91,2.08,1.58,1.69,1.97,2.89,0.12,3.51,2.02,1.8,2.83,2.11,2.26,3.69,0.94,4.57,2.04,3.23,1.41,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.17,3.48,0.74,0.4,4.09,3.51,1.85,1.96,1.55,2.2,1.48,1.22,2.4,1.05,0.89,0.81,1.22,1.47,3.57,1.68,3.39,0.96,1.76,0.42,2.6,1.54,2.57,0.83,2.38,1.05,1.64,3.95,2.45,0.06,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.93,1.85,3.08,3.1,0.68,0.7,3.01,2.27,0.88,2.78,1.47,1.86,2.12,2.92,1.8,2.3,2.11,1.04,2.53,2.3,1.95,0.23,3.2,2.89,1.23,1.05,2.08,2.1,2.53,1.77,0.83,1.31,1.54,1.19,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
