LLANFYLLIN-PENLLWYN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ140188,Long,-3.2758436,Lat,52.759934,Elevation,649,ft.,,,,,,,,,,,,,
Station no,4254/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.35,2.52,4.35,6.19,5.22,3.52,6.48,3.26,12.77,2.05,1.71,4.24,4.85,1.92,3.38,,,,,,
February,3.2,5.86,2.03,3.22,2.02,5.79,6.39,2.04,3.49,2.14,9.39,5.24,0.7,2.25,3.88,,,,,,
March,2.95,2.9,2.72,1.22,0.69,2.02,2.22,12.33,2.56,1.72,2.28,4.69,1.6,2.47,3.36,,,,,,
April,2.93,1.53,3.5,2.22,1.79,2.79,1.36,3.74,3.21,4.47,4.34,3.63,1.61,2.88,0.89,,,,,,
May,2.34,2.53,5.03,4.34,2.63,4.73,3.12,3.82,2.38,3.35,1.02,3.56,2.35,2.47,2.66,,,,,,
June,1.68,1.62,0.63,3.99,3.3,4.79,3.86,2.22,3.93,1.07,1.26,1.63,2.49,1.14,4.41,,,,,,
July,2.84,2.04,3.1,3.04,2.34,2.4,2.47,2.69,1.84,1.89,3.57,2.15,2.46,3.65,3.32,,,,,,
August,0.11,5.85,3.4,4.48,2.68,4.55,5.77,0.65,4.84,2,6.27,4.58,4.79,2.32,3.63,,,,,,
September,2.24,1.13,3.46,4.92,4.69,3.14,5.97,2.53,2.71,1.4,8.05,3.99,2.43,2.22,4.49,,,,,,
October,6.15,5.23,2.93,4.81,6.13,6.37,2.54,1.11,2.61,6.27,3.01,0.91,6.65,1.05,8.35,,,,,,
November,10.43,2.74,0.95,3.27,8.11,0.4,6.92,5.38,1.9,5.18,4.74,8.06,2.64,4.71,8.66,,,,,,
December,3.39,3.13,4.88,2.71,3.78,5.38,4.12,4.26,4.62,6.32,2.99,6.68,3.72,1.5,4.6,,,,,,
Total,41.61,37.08,36.98,44.41,43.38,45.88,51.22,44.03,46.86,37.86,48.63,49.36,36.29,28.58,51.63,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is adjacent to Penllwyn. Altitudes match. Gauge moved here from Llwwyn, just over 400 yards N",,,,,,,,,,,,,,,,,,,,,
