"ARROCHAR, DUMBARTONSHIRE",,,,,,,,,,
Grid ref,NN296039,Long,-4.74808,Lat,56.197118,Elevation,40,ft,,
Station no,RR2849,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,18.72,,10,9.9,16.5,7.1,21.7,
February,,,5.83,,5.52,6.55,11.88,11,16.3,
March,,,5.3,,8.82,4.85,7.2,4.7,14.5,
April,,,11.96,,2.95,2.24,4.62,14.2,7.5,
May,,,6.6,,2.35,7.3,2.56,4.52,7,
June,,,7.95,4.86,8.6,2.4,4.34,3.25,5,
July,,,10.36,0.25,5.64,6,4.5,6.28,1.9,
August,,,6.48,8.12,3.48,10.04,11.2,4.7,12.36,
September,,,3.75,12.45,12.72,3.12,12.2,8.8,3.52,
October,,,17.25,7.9,5.08,5.85,7.4,13.5,15.1,
November,,,,10.56,7.25,6.95,9.65,3.05,9.9,
December,,,,21.86,7.19,11.2,16.25,10,20.52,
Total,,,,,79.6,76.4,108.3,91.1,135.3,
,,,,,,,,,,
1869 Deleted On sheet crossed out as refers to,,,,,,,,,,
Upper Inveruglas Arrochar,,,,,,,,,,
Location Low based on village,,,,,,,,,,
