ROMANSLEIGH-RECTORY-(WEST-BUCKLAND-DEVON-COUNTY-SHOOL),,,,,,,,,
Grid ref,SS667315,Long,-3.9038,Lat,51.06733,Elevation,650,ft,
Station no,RR8749,,,,,,,,
,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888
January,,,,,5.21,3.45,6.92,3.93,2.81
February,,,,,3.75,4.16,1,1,1.93
March,,,,,3.67,2.29,3.8,1.9,4.94
April,,,,,2.04,2.61,2.66,1.58,1.58
May,,,,,1.71,3.75,4.03,2.3,1.57
June,,,,,2.36,3.94,1.37,0.49,3.16
July,,,,,4.15,1.33,3.4,1.81,8.15
August,,,,,4.71,2.1,3.45,1.49,4.45
September,,,,,2.95,7.65,3.39,5.62,2.32
October,,,,,3.51,7.66,8.44,4.69,2.32
November,,,,,3.27,4.15,5.64,4.44,8.08
December,,,,,6.18,2.42,6.97,4.48,4.18
Total,,,,,43.51,45.51,51.07,33.73,45.49
,,,,,,,,,
West Buckland County School,,,,,,,,,
1889 Observer moved 0.75 miles SW to West Buckland Rectory,,,,,,,,,
