SAFFRON-WALDEN-SEWARDS-END,,,,,,,,,,
Grid ref,TL571383,Long,0.28813511,Lat,52.02088,Elevation,395,ft,,
Station no,1308/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.25,3.31,1.02,2.32,2.56,2.33
February,,,,,1.34,0.7,2.31,2.76,0.15,1.53
March,,,,,1.3,0.61,2.08,0.82,2.3,1.43
April,,,,,0.35,1.26,0.12,1.03,2.56,0.42
May,,,,,2.96,0.6,0.57,2.81,0.56,0.99
June,,,,,1.5,2.04,1.77,5.94,0.73,1.43
July,,,,,1.15,2.53,2.47,3.4,2.79,2.99
August,,,,,0.83,4.11,2.13,3.18,0.48,3.06
September,,,,1.18,2.1,1.94,2.92,2.93,0.09,4.88
October,,,,1.77,4.14,1.71,1.87,1.99,1.83,6.78
November,,,,3.38,0.58,1.41,2.03,1.68,2.27,3.05
December,,,,1.93,1.7,2.36,2.01,2.74,4.5,3.01
Total,,,,,20.2,22.58,21.3,31.6,20.82,31.9
