AUSTWICK-SPRINGFIELD,,,,,,,,,,
Grid ref,SD765683,Long,-2.3609404,Lat,54.110037,Elevation,510,ft.,,
Station no,3068/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.56,5.42,4.89,4.67,3.22,5.49
February,,,,,1.87,1.41,4.28,7.84,1.05,4.4
March,,,,,1.73,2.23,3.51,1.19,2.59,1.12
April,,,,,1.89,1.97,0.74,1.47,3.18,2.47
May,,,,,4.37,1.97,2.61,5.11,0.91,1.56
June,,,,,2.41,2.85,1.97,4.55,2.89,1.65
July,,,,,0.95,3.83,5.47,3.75,3.7,9.24
August,,,,,0.97,11.47,8.57,5.43,1.12,3.57
September,,,,,2.99,2.78,6.82,4.91,0.38,3.49
October,,,,,3.51,2.01,5.75,4.14,3.97,3.37
November,,,,,2.76,1.75,1.75,1.24,5.83,8.33
December,,,,,6.39,5.74,5.15,3.22,7.18,4.73
Total,,,,,32.4,43.43,51.51,47.52,36.02,49.42
,,,,,,,,,,
"NGR is on Clapham Road, the address of Springfiled, at the stated altitude.",,,,,,,,,,
"NGR on the 1950s record, SD765685, is 200m N and 200 ft too high.",,,,,,,,,,
"MIDAS src_id 12563 ends 1963 and places gauge 140m NE, did gauge move?",,,,,,,,,,
