WEST-DRAYTON-PUMPING-STATION,,,,,,,,,,
Grid ref,TQ062802,Long,-0.47105789,Lat,51.510757,Elevation,98,ft.,,
Station no,843/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.93,2.19,1.99
February,,,,,,,,2.3,0.09,2.09
March,,,,,,,,1.2,2.17,1.37
April,,,,,,,,1.08,2.21,0.56
May,,,,,,,,2.52,0.68,1.89
June,,,,,,,,3.8,0.91,1.72
July,,,,,,,,2.57,2.98,3.57
August,,,,,,,,3.31,1.23,2.42
September,,,,,,,,4,0.03,3.78
October,,,,,,,,2.15,1.98,6.16
November,,,,,,,,2.02,2.17,4.48
December,,,,,,,,3.42,3.3,2.5
Total,,,,,,,,31.3,19.94,32.53
,,,,,,,,,,
NGR is from 1950s record but cannot be verified. Stated altitude is about 10 ft. lower than on OS maps.,,,,,,,,,,
MIDAS src_id 6312 ends 1984 and uses same NGR,,,,,,,,,,
