LOGAU-LAS-MINE,,,,,,,,,,
Grid ref,SN739722,Long,-3.8520665,Lat,52.33335,Elevation,375,ft,,
Station no,RR8106,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,11.06,6.95,7.34,5.91
February,,,,,,,5.33,3.95,4,6.62
March,,,,,,,5.1,1.45,4.96,2.37
April,,,,,,,1.4,7.62,4.42,4
May,,,,,,,1.32,2.35,1.82,3.28
June,,,,,,,5.93,1.53,0.71,1.12
July,,,,,,,2.12,6.13,1.91,1.8
August,,,,,,,6.35,2.97,4.23,3.74
September,,,,,,,7.92,5.23,2.07,9.43
October,,,,,,,0.85,8.63,6.12,3.5
November,,,,,,,6.66,1.93,3.26,5.5
December,,,,,,,6.19,6.72,10.76,5
Total,,,,,,,60.23,55.46,51.6,52.27
