"LINLITHGOW ROCKVILLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR77,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,,,,,,,3.31,,
February,,,,,,,,,,0.44,,
March,,,,,,,,,,0.94,,
April,,,,,,,,,,1.81,,
May,,,,,,,,,,2.20,,
June,,,,,,,,,,1.28,,
July,,,,,,,,,,1.66,,
August,,,,,,,,,,1.98,,
September,,,,,,,,,,1.76,,
October,,,,,,,,,,2.26,,
November,,,,,,,,,,3.32,,
December,,,,,,,,,,1.66,,
Total,,,,,,,,,,22.62,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
