SLAIDBURN-UPPER-CROASDALE,,,,,,,,,,
Grid ref,SD684569,Long,-2.4836381,Lat,54.007146,Elevation,870,ft.,,
Station no,3084/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.69,5.28,9.7
February,,,,,,,,12.87,2.09,7.62
March,,,,,,,6.95,2.46,4.04,2.17
April,,,,,,,1.17,2.33,4.56,6.27
May,,,,,,,3.37,6.91,1.46,2.25
June,,,,,,,2.39,4.34,5,3.05
July,,,,,,,8.27,4.88,5.2,13.96
August,,,,,,,8.4,8.84,0.77,5.44
September,,,,,,,10.25,7.47,0.66,4.93
October,,,,,,,10.88,6.52,8.5,5.42
November,,,,,,,3.16,2.42,8.2,12.68
December,,,,,,,10.27,6.77,13.3,8.6
Total,,,,,,,,72.5,59.06,82.09
,,,,,,,,,,
NGR is from 1950s record and is in the Upper Croasdale Valley. Altitudes match.,,,,,,,,,,
MIDAS src_id 12349 ends 1982,,,,,,,,,,
