"DENNY (BUCKIEBURN FILTERS)",,,,,,,,,,,,
Grid ref,NS751851,Long,-4.006508,Lat,56.042433,,,,,,,
Station no,5352,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.07,4.80,2.69,6.32,3.33,4.68,10.34,6.48,3.21,6.03,,
February,4.03,1.13,2.54,7.15,3.80,1.84,4.43,2.84,2.95,4.78,,
March,3.42,6.05,1.72,4.60,4.60,3.58,6.98,2.70,3.64,2.62,,
April,5.23,2.65,2.78,2.39,3.18,1.28,3.99,2.21,5.34,5.52,,
May,2.53,2.13,3.27,5.72,5.36,3.87,3.82,4.96,1.68,4.14,,
June,3.89,5.33,2.96,4.53,2.73,4.50,2.31,4.77,3.28,3.32,,
July,5.88,2.37,8.56,3.13,1.70,6.75,5.81,7.03,7.42,5.62,,
August,8.83,5.87,2.68,6.04,1.76,7.80,5.15,6.14,1.68,4.11,,
September,5.29,3.62,6.26,8.35,4.98,7.63,4.16,4.65,1.30,3.80,,
October,1.55,4.44,3.66,12.12,4.24,6.04,6.28,5.65,5.79,5.41,,
November,7.95,2.65,9.62,8.69,2.63,1.28,2.77,2.41,7.85,7.20,,
December,10.20,5.39,6.79,9.72,9.67,7.49,9.30,6.50,10.73,7.03,,
Total,64.87,46.43,53.53,78.76,47.98,56.74,65.34,56.34,54.87,59.58,,
Calc annual,64.87,46.43,53.53,78.76,47.98,56.74,65.34,56.34,54.87,59.58,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
