"PATNA (KERSE FILTERS) NEW SITE",,,,,,,,,,,,
Grid ref,NS425131,Long,-4.487857,Lat,55.386511,,,,,,,
Station no,5259/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.73,,
February,,,,,,,,,,5.00,,
March,,,,,,,,,,2.02,,
April,,,,,,,,,,3.57,,
May,,,,,,,,,,1.72,,
June,,,,,,,,,,2.66,,
July,,,,,,,,,,4.05,,
August,,,,,,,,,,4.31,,
September,,,,,,,,,,3.54,,
October,,,,,,,,,,2.56,,
November,,,,,,,,,,8.35,,
December,,,,,,,,,,5.69,,
Total,,,,,,,,,,48.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.20,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
