"HOLYHEAD (SALT ISLAND)",,,,,,,,,,,,
Grid ref,SH252832,Long,-4.625557,Lat,53.316794,,,,,,,
Station no,4408,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,,,,,,,,,,,
February,3.42,,,,,,,,,,,
March,4.41,,,,,,,,,,,
April,1.94,,,,,,,,,,,
May,2.03,,,,,,,,,,,
June,0.56,,,,,,,,,,,
July,1.32,,,,,,,,,,,
August,4.57,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,21.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
