"CREWE (ISOLATION HOSPITAL)",,,,,,,,,,,,
Grid ref,SJ709566,Long,-2.436119,Lat,53.105792,,,,,,,
Station no,2766,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.95,2.91,1.16,1.66,2.56,3.88,1.59,2.77,3.12,,,
February,3.01,1.04,1.65,2.55,1.78,0.85,2.05,4.07,0.30,,,
March,4.97,1.44,1.17,2.58,2.41,1.71,2.70,1.43,1.54,,,
April,1.77,2.66,3.06,0.50,1.83,1.86,0.38,0.70,3.36,,,
May,2.56,1.90,1.86,2.07,2.87,0.67,1.14,2.22,1.48,,,
June,0.98,2.17,2.04,4.14,3.17,2.17,1.82,4.78,1.60,,,
July,1.83,2.21,3.32,3.35,0.57,4.45,5.46,3.59,2.62,,,
August,3.90,1.49,2.84,4.16,0.99,6.58,4.02,3.62,0.58,,,
September,1.89,2.44,2.45,2.72,2.32,2.16,5.91,4.06,0.12,,,
October,1.15,3.40,2.01,4.96,1.54,2.29,2.67,2.88,2.56,,,
November,6.45,1.84,1.98,4.89,1.55,0.97,1.35,1.79,3.30,,,
December,3.66,3.10,1.10,3.43,3.03,3.12,2.37,3.04,4.79,,,
Total,35.12,26.60,24.64,37.01,24.62,30.71,31.46,34.95,25.37,,,
Calc annual,35.12,26.60,24.64,37.01,24.62,30.71,31.46,34.95,25.37,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
