"HAWARDEN BRIDGE",,,,,,,,,,,,
Grid ref,SJ322693,Long,-3.016803,Lat,53.216411,,,,,,,
Station no,4279,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.91,3.11,0.59,1.90,1.96,3.30,1.36,3.03,4.01,4.81,,
February,2.60,1.21,1.43,2.23,2.18,0.30,2.10,4.36,0.11,2.13,,
March,4.79,0.93,0.76,1.78,2.02,1.32,1.56,1.39,1.31,2.01,,
April,1.39,1.60,2.39,0.61,1.04,1.83,0.45,0.23,3.26,1.24,,
May,3.23,1.93,1.95,2.14,2.32,0.44,1.20,1.72,1.59,1.89,,
June,0.99,1.44,1.63,4.08,2.81,1.41,1.27,4.71,2.32,0.89,,
July,1.27,1.72,2.47,2.99,0.31,4.34,4.03,3.45,2.22,2.31,,
August,4.14,1.41,2.28,2.80,1.02,6.05,3.93,2.71,1.76,4.27,,
September,2.06,3.67,3.00,2.04,1.89,2.35,6.60,4.38,0.28,3.11,,
October,0.96,4.10,1.28,4.33,1.41,2.10,1.68,2.11,2.36,4.74,,
November,6.05,1.84,1.98,5.86,1.73,0.95,1.48,1.94,4.15,4.59,,
December,3.40,3.71,1.08,2.71,3.11,2.88,1.67,2.81,4.46,2.94,,
Total,32.79,26.67,20.84,33.47,21.80,27.27,27.33,32.84,27.83,34.93,,
Calc annual,32.79,26.67,20.84,33.47,21.80,27.27,27.33,32.84,27.83,34.93,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
