"LEIGH (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ661993,Long,-2.512389,Lat,53.489310,,,,,,,
Station no,2824,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.22,3.61,1.46,2.84,2.31,4.32,1.84,2.59,2.51,4.19,,
February,2.02,1.14,1.02,2.97,1.83,0.55,1.97,4.57,0.18,1.65,,
March,5.18,2.07,1.56,2.30,1.72,1.07,2.56,1.41,1.31,1.30,,
April,1.81,3.70,2.29,0.58,1.71,3.44,0.68,0.73,2.04,1.45,,
May,2.70,2.16,1.50,1.79,2.38,1.11,1.09,3.30,1.45,2.40,,
June,1.59,3.71,1.90,2.85,3.35,1.57,1.77,4.36,2.93,1.16,,
July,2.63,1.67,6.10,3.94,0.89,5.68,5.64,3.88,3.07,4.86,,
August,4.76,2.84,3.38,6.40,1.10,9.69,3.66,3.70,0.19,4.33,,
September,2.43,3.37,4.15,3.54,2.69,2.72,4.95,3.24,0.21,3.18,,
October,0.99,3.80,1.64,6.00,2.48,2.15,3.35,2.25,2.67,3.81,,
November,7.76,2.28,3.50,5.54,1.54,1.60,1.33,1.49,4.10,5.65,,
December,6.15,3.11,1.30,4.63,4.28,2.68,2.89,3.88,4.48,3.10,,
Total,41.24,33.46,29.80,43.38,26.28,36.58,31.73,35.40,25.14,37.08,,
Calc annual,41.24,33.46,29.80,43.38,26.28,36.58,31.73,35.40,25.14,37.08,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
