"STRONACHLACHAR (INVERGYLE)",,,,,,,,,,,,
Grid ref,NN401102,Long,-4.582846,Lat,56.257305,,,,,,,
Station no,5369,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.97,6.09,5.29,8.40,5.24,5.60,12.34,10.29,,,,
February,5.06,2.44,4.27,6.69,4.55,2.68,7.42,4.01,,,,
March,5.46,8.97,2.93,6.57,1.83,4.64,8.41,,,,,
April,5.05,3.28,5.36,3.34,5.32,2.48,3.41,,,,,
May,2.32,2.12,5.00,5.64,4.93,4.79,3.69,,,,,
June,3.02,6.09,2.06,4.71,4.35,4.72,3.14,,,,,
July,4.78,3.77,7.83,4.02,1.44,6.96,5.92,,,,,
August,8.22,6.61,5.00,6.94,1.40,7.64,6.79,,,,,
September,5.79,3.89,10.71,10.39,6.94,8.40,4.73,,,,,
October,2.68,9.04,7.66,13.99,7.09,5.75,8.09,,,,,
November,13.27,2.89,13.82,14.89,4.62,4.73,2.78,,,,,
December,12.93,8.12,9.74,15.89,14.47,13.05,11.21,,,,,
Total,76.55,63.31,79.67,101.47,62.18,71.44,77.93,,,,,
Calc annual,76.55,63.31,79.67,101.47,62.18,71.44,77.93,14.30,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
