"WICK AIRPORT",,,,,,,,,,,,
Grid ref,ND366523,Long,-3.088089,Lat,58.454352,,,,,,,
Station no,5809,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.62,3.67,2.80,1.86,3.71,5.44,3.07,4.10,7.59,3.67,,
February,3.47,2.43,1.56,1.88,3.13,1.84,1.20,4.09,0.33,5.33,,
March,3.65,2.80,1.26,2.12,1.64,1.63,3.48,2.93,1.67,1.07,,
April,2.45,0.49,2.14,1.10,1.32,1.69,1.03,1.48,1.94,1.82,,
May,0.46,1.81,2.56,2.73,2.55,1.43,1.33,3.25,1.52,0.59,,
June,0.83,2.92,1.64,3.41,0.57,2.39,3.03,0.91,1.46,1.91,,
July,3.71,1.60,4.12,3.11,0.36,3.62,4.02,2.14,2.71,2.89,,
August,2.97,3.48,2.88,2.35,0.57,2.76,5.13,3.19,1.98,3.88,,
September,1.44,2.45,2.09,2.74,3.25,1.89,3.25,0.84,1.03,2.46,,
October,1.91,3.49,1.17,5.67,4.08,2.73,2.02,3.48,4.01,3.01,,
November,5.11,3.57,2.47,4.47,2.31,3.67,2.15,1.35,4.27,2.52,,
December,2.44,3.62,2.30,5.49,4.86,3.43,4.04,3.43,3.14,2.71,,
Total,31.06,32.33,26.99,36.93,28.34,32.52,33.75,31.19,31.65,31.86,,
Calc annual,31.06,32.33,26.99,36.93,28.35,32.52,33.75,31.19,31.65,31.86,,
Difference,-0.00,0.00,0.00,-0.00,-0.01,0.00,0.00,0.00,-0.00,-0.00,,
