"FROME SEWAGE DISPOSAL WORKS",,,,,,,,,,,,
Grid ref,ST772492,Long,-2.327999,Lat,51.241517,,,,,,,
Station no,1956/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,6.07,,
September,,,,,,,,,,3.89,,
October,,,,,,,,,,7.66,,
November,,,,,,,,,,4.31,,
December,,,,,,,,,,4.71,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
