"GLASGOW (SPRINGBURN PARK)",,,,,,,,,,,,
Grid ref,NS610685,Long,-4.224092,Lat,55.889512,,,,,,,
Station no,5181,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.23,4.55,1.43,5.47,3.10,2.80,5.53,3.64,1.41,3.49,,
February,2.70,1.70,1.38,3.48,2.05,1.40,3.25,2.94,1.70,3.20,,
March,2.82,2.31,0.96,2.37,1.55,2.59,4.58,1.23,1.60,2.25,,
April,2.11,2.29,1.83,1.75,1.69,1.08,2.10,1.33,2.16,2.83,,
May,1.81,2.16,2.31,3.54,3.48,2.03,3.04,3.47,1.22,3.20,,
June,2.27,2.94,2.57,3.57,2.55,3.11,2.41,3.04,2.80,2.61,,
July,4.21,3.06,5.30,3.32,1.23,5.88,3.51,5.82,5.23,4.07,,
August,4.37,3.90,3.65,6.34,1.15,4.98,4.10,6.49,0.68,4.17,,
September,3.31,2.62,3.52,5.31,3.72,5.10,2.92,3.76,1.38,2.41,,
October,0.97,3.95,2.39,9.69,2.88,3.04,4.16,3.06,4.49,3.05,,
November,6.01,2.32,6.44,6.38,2.02,1.65,1.69,2.11,5.44,4.82,,
December,5.65,3.52,4.73,5.09,6.25,4.53,4.76,4.62,6.10,5.22,,
Total,41.46,35.32,36.51,56.31,31.67,38.19,42.05,41.51,34.21,41.32,,
Calc annual,41.46,35.32,36.51,56.31,31.67,38.19,42.05,41.51,34.21,41.32,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
