"MOORFOOT HILLS",,,,,,,,,,,,
Grid ref,NT297484,Long,-3.120777,Lat,55.723892,,,,,,,
Station no,5113,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.12,3.52,1.20,4.00,2.20,2.83,4.10,2.75,1.30,4.05,,
February,3.90,1.18,1.28,2.40,2.05,2.55,3.50,3.60,0.80,3.10,,
March,3.38,1.42,0.69,2.20,1.60,1.95,2.75,2.00,1.50,2.20,,
April,3.63,1.82,3.20,1.20,1.36,1.20,2.02,2.40,2.70,2.10,,
May,4.32,1.92,2.66,6.00,3.00,1.20,2.90,3.05,0.85,1.70,,
June,2.18,2.95,2.70,4.10,1.45,2.88,2.00,4.10,1.70,1.30,,
July,3.58,2.86,5.40,3.35,2.82,6.60,4.40,7.25,3.00,3.80,,
August,5.62,3.98,2.70,7.30,1.30,8.80,7.00,4.20,1.08,5.20,,
September,2.65,3.31,3.60,4.80,2.75,2.95,2.30,3.55,0.75,2.30,,
October,0.61,3.90,2.05,6.75,3.20,2.80,3.00,1.75,4.00,4.55,,
November,10.56,4.02,5.05,6.20,1.65,1.50,2.90,1.25,7.60,4.20,,
December,3.62,4.12,3.40,5.00,5.20,4.30,4.70,7.30,6.00,3.80,,
Total,48.17,35.00,33.93,53.30,28.58,39.56,41.57,43.20,31.28,38.30,,
Calc annual,48.17,35.00,33.93,53.30,28.58,39.56,41.57,43.20,31.28,38.30,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
