"WINTERBURN (LONG HILL)",,,,,,,,,,,,
Grid ref,SD946604,Long,-2.083947,Lat,54.039547,,,,,,,
Station no,3310,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.48,3.74,1.22,3.65,2.19,3.78,4.57,4.50,3.64,5.02,,
February,3.31,1.31,1.92,2.96,1.87,1.51,3.67,5.63,0.62,2.60,,
March,3.48,3.07,0.97,2.49,2.02,2.02,3.68,2.10,2.02,1.45,,
April,2.34,2.48,2.49,1.05,2.05,2.21,0.50,1.82,2.82,2.23,,
May,2.43,2.15,2.20,3.37,3.72,2.26,1.91,6.28,0.58,1.68,,
June,1.46,2.84,3.00,3.68,3.07,3.15,2.07,6.15,2.16,1.93,,
July,3.22,2.07,5.51,4.69,0.81,5.44,4.09,3.71,2.29,8.24,,
August,4.16,5.74,5.93,6.09,1.28,10.36,6.07,5.69,0.49,4.96,,
September,3.45,3.95,3.77,5.69,2.63,4.12,6.09,5.62,0.30,3.87,,
October,1.70,4.01,1.83,9.13,2.69,2.59,6.13,4.87,4.07,4.94,,
November,8.47,2.06,4.73,6.21,2.30,1.38,2.26,2.11,5.25,8.99,,
December,8.00,3.51,2.12,5.12,5.61,4.75,3.92,5.53,8.04,5.57,,
Total,46.50,36.93,35.69,54.13,30.24,43.57,44.96,54.01,32.28,51.48,,
Calc annual,46.50,36.93,35.69,54.13,30.24,43.57,44.96,54.01,32.28,51.48,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
