"KIRRIEMUIR (BALNAKEILLY)",,,,,,,,,,,,
Grid ref,NO281554,Long,-3.175285,Lat,56.684789,,,,,,,
Station no,5577,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,2.70,0.70,2.20,2.10,3.60,4.60,3.80,1.69,3.90,,
February,3.60,1.05,1.05,3.60,1.50,1.10,3.90,2.20,0.55,3.90,,
March,1.80,3.85,0.55,2.90,1.55,2.60,3.35,3.50,2.70,2.75,,
April,2.00,1.50,2.10,1.20,1.35,0.65,1.17,0.90,4.00,3.15,,
May,1.50,4.55,1.85,5.20,2.55,0.98,2.25,3.00,0.90,2.70,,
June,2.80,2.50,2.40,2.00,2.30,3.80,1.25,3.30,2.60,2.50,,
July,3.10,3.50,4.65,3.20,0.69,4.25,5.80,3.70,3.90,3.65,,
August,4.90,2.40,2.50,3.20,0.65,6.40,4.50,3.70,1.20,6.25,,
September,2.30,0.70,3.10,4.10,1.70,5.00,2.65,3.95,0.85,2.20,,
October,0.95,3.40,1.80,6.20,2.30,2.40,2.10,2.70,3.30,6.70,,
November,10.50,2.10,3.15,6.90,2.10,1.15,1.50,1.20,5.90,5.20,,
December,3.40,2.30,4.40,4.30,6.30,5.50,4.75,5.30,7.20,2.75,,
Total,40.75,30.55,28.25,45.00,25.09,37.43,37.82,37.25,34.79,45.65,,
Calc annual,40.75,30.55,28.25,45.00,25.09,37.43,37.82,37.25,34.79,45.65,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
