"KILPATRICK HILLS (JAW RESERVOIR)",,,,,,,,,,,,
Grid ref,NS496757,Long,-4.410206,Lat,55.950720,,,,,,,
Station no,5340,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.18,4.20,3.03,6.02,3.58,3.30,6.92,4.79,2.43,4.73,,
February,4.14,2.73,3.96,6.28,2.23,1.73,4.06,3.52,2.53,4.65,,
March,4.17,4.65,2.17,5.32,1.75,2.78,6.55,2.44,2.91,2.71,,
April,3.71,2.77,2.75,2.71,3.14,1.15,2.41,2.04,3.26,4.74,,
May,1.55,1.99,2.38,5.28,5.12,3.34,3.36,3.94,1.32,3.19,,
June,2.91,4.37,1.92,5.16,4.01,3.32,2.79,4.39,3.46,3.45,,
July,5.86,4.86,6.06,5.00,0.88,7.25,5.39,6.33,8.43,6.10,,
August,7.18,5.13,5.54,6.07,1.17,5.49,6.93,5.38,1.29,4.32,,
September,4.24,4.12,5.80,8.31,5.53,6.75,3.82,4.99,1.89,3.75,,
October,1.93,5.02,2.76,11.48,4.69,3.86,6.44,5.24,5.50,4.24,,
November,7.16,3.03,9.91,8.08,3.59,2.34,2.17,2.55,6.43,5.83,,
December,9.36,6.05,6.16,9.01,8.18,7.41,6.27,5.27,6.18,6.09,,
Total,58.39,48.92,52.44,78.72,43.87,48.72,57.11,50.88,45.63,53.80,,
Calc annual,58.39,48.92,52.44,78.72,43.87,48.72,57.11,50.88,45.63,53.80,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
