"CARRICKFERGUS (COPELAND)",,,,,,,,,,,,
Grid ref,IJ429916,Long,-5.781000,Lat,54.752176,,,,,,,
Station no,6225,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,4.00,1.57,3.73,4.28,3.69,4.37,4.46,3.16,4.58,,
February,2.71,1.01,1.21,3.87,4.29,1.22,2.98,4.99,1.11,3.58,,
March,3.67,1.87,0.44,4.49,2.10,1.83,3.42,2.93,2.59,3.06,,
April,2.05,1.90,2.41,1.19,2.44,1.20,1.55,2.33,3.05,3.48,,
May,2.93,1.41,2.34,4.32,3.33,1.40,2.51,3.11,1.37,1.73,,
June,2.03,3.17,1.93,3.52,6.04,2.99,1.91,6.03,2.62,2.11,,
July,3.26,2.31,6.38,4.41,1.53,3.92,4.14,5.73,3.82,7.56,,
August,4.25,6.49,3.38,3.29,1.14,6.68,3.58,6.33,1.45,6.19,,
September,2.67,1.98,3.12,4.49,4.41,4.28,4.98,4.32,1.62,3.46,,
October,0.52,4.08,2.42,7.11,3.92,3.16,3.97,2.32,4.00,7.32,,
November,7.52,1.98,4.10,6.39,2.92,1.54,2.38,2.27,4.07,4.99,,
December,5.59,4.47,3.75,5.95,5.99,4.55,4.91,5.96,6.54,3.20,,
Total,41.51,34.67,33.05,52.76,42.39,36.46,40.70,50.78,35.40,51.26,,
Calc annual,41.51,34.67,33.05,52.76,42.39,36.46,40.70,50.78,35.40,51.26,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
