"BEVERLEY (BROADGATE HOSPITAL)",,,,,,,,,,,,
Grid ref,TA015377,Long,-0.459460,Lat,53.825667,,,,,,,
Station no,3397,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.65,2.09,0.89,1.89,1.50,4.92,,,,,,
February,2.68,0.74,1.71,2.28,1.93,,,,,,,
March,2.94,2.31,0.48,2.02,2.42,,,,,,,
April,1.33,1.35,2.20,0.34,0.72,,,,,,,
May,3.28,1.48,1.71,2.22,3.33,,,,,,,
June,1.36,2.17,2.27,1.83,2.08,,,,,,,
July,1.32,1.73,2.23,1.70,1.03,,,,,,,
August,5.70,1.78,2.96,6.20,0.79,,,,,,,
September,1.03,3.66,0.69,2.27,0.70,,,,,,,
October,1.17,2.27,1.54,4.57,1.93,,,,,,,
November,4.23,2.63,1.95,4.81,1.16,,,,,,,
December,1.95,1.63,1.30,2.38,2.93,,,,,,,
Total,28.64,23.84,19.93,32.51,20.52,,,,,,,
Calc annual,28.64,23.84,19.93,32.51,20.52,4.92,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
