"FORT AUGUSTUS (ARDACHIE)",,,,,,,,,,,,
Grid ref,NH380076,Long,-4.678102,Lat,57.130668,,,,,,,
Station no,5701/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.31,6.09,,,,,,,,,,
February,3.92,2.43,,,,,,,,,,
March,2.56,2.56,,,,,,,,,,
April,5.98,2.19,,,,,,,,,,
May,0.92,2.49,,,,,,,,,,
June,2.43,2.73,,,,,,,,,,
July,3.00,3.14,,,,,,,,,,
August,4.31,5.87,,,,,,,,,,
September,2.59,3.85,,,,,,,,,,
October,1.46,5.88,,,,,,,,,,
November,5.63,2.88,,,,,,,,,,
December,7.62,6.00,,,,,,,,,,
Total,45.73,46.11,,,,,,,,,,
Calc annual,45.73,46.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
