"DUNDEE (STOBSMUIR RESERVOIR)",,,,,,,,,,,,
Grid ref,NO416321,Long,-2.949691,Lat,56.477379,,,,,,,
Station no,5590,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.38,1.56,0.60,1.51,1.34,2.77,2.76,1.85,0.88,4.77,,
February,3.07,0.48,0.70,2.86,1.30,1.12,3.90,2.87,0.30,2.84,,
March,2.23,2.21,0.30,2.84,1.64,1.66,2.13,5.86,1.57,2.62,,
April,1.43,0.99,2.03,1.05,0.77,1.03,0.76,1.66,2.53,2.72,,
May,2.19,2.32,1.79,4.13,2.04,0.82,1.87,3.10,0.84,2.19,,
June,2.19,2.52,1.11,1.92,1.10,2.95,0.96,3.42,2.03,2.82,,
July,4.49,1.62,3.27,3.03,0.97,4.65,5.40,4.13,2.96,3.81,,
August,3.42,2.93,2.22,3.99,0.50,4.79,4.04,3.00,0.77,4.75,,
September,1.65,0.90,2.31,2.33,1.19,4.79,1.43,2.74,0.79,1.81,,
October,0.49,2.32,1.33,5.68,1.83,1.12,1.48,1.93,1.92,6.83,,
November,7.07,2.00,2.43,4.14,1.97,0.80,1.43,1.02,5.01,3.70,,
December,2.14,2.07,3.02,3.24,5.57,3.24,4.57,4.34,5.79,2.47,,
Total,33.75,21.92,21.11,36.72,20.22,29.74,30.73,35.92,25.39,41.33,,
Calc annual,33.75,21.92,21.11,36.72,20.22,29.74,30.73,35.92,25.39,41.33,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
