"LOCH NESS (FOYERS) NEW SITE",,,,,,,,,,,,
Grid ref,NH497212,Long,-4.493232,Lat,57.256697,,,,,,,
Station no,5705/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.60,2.91,3.64,,
February,,,,,,,,2.45,1.73,2.42,,
March,,,,,,,3.16,1.15,1.38,0.73,,
April,,,,,,,1.04,2.80,3.13,2.72,,
May,,,,,,,1.55,3.76,1.33,0.77,,
June,,,,,,,1.71,1.37,2.59,2.33,,
July,,,,,,,5.86,3.38,2.80,2.39,,
August,,,,,,,4.48,4.11,2.36,5.26,,
September,,,,,,,2.22,2.66,0.67,2.25,,
October,,,,,,,3.95,5.37,4.99,1.70,,
November,,,,,,,1.85,0.88,5.33,2.59,,
December,,,,,,,6.60,3.63,4.63,5.66,,
Total,,,,,,,-999.00,34.16,33.85,32.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.42,34.16,33.85,32.46,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-1031.42,0.00,0.00,0.00,,
