"LOCH NESS (FOYERS)",,,,,,,,,,,,
Grid ref,NH497212,Long,-4.493232,Lat,57.256697,,,,,,,
Station no,5705,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.05,4.59,2.34,3.25,1.70,3.14,6.18,2.91,,,,
February,2.85,1.82,2.83,2.50,2.97,2.94,3.29,,,,,
March,1.96,1.84,1.98,2.37,0.90,1.72,3.47,,,,,
April,6.46,1.36,3.15,1.77,1.19,2.52,1.26,,,,,
May,0.86,2.66,3.88,3.99,3.02,2.98,1.70,,,,,
June,2.30,2.33,4.37,2.15,1.15,2.16,1.87,,,,,
July,4.19,2.20,4.91,2.75,0.74,5.65,6.11,,,,,
August,5.77,4.63,2.96,2.38,0.53,7.76,4.84,,,,,
September,1.74,3.51,2.86,3.74,3.65,4.90,2.56,,,,,
October,1.40,4.19,1.06,7.23,4.51,4.62,4.23,,,,,
November,3.43,2.65,5.52,4.42,0.72,3.00,2.00,,,,,
December,7.05,3.82,4.88,9.10,6.65,6.92,6.82,,,,,
Total,43.06,35.60,40.74,45.65,27.73,48.31,44.33,,,,,
Calc annual,43.06,35.60,40.74,45.65,27.73,48.31,44.33,2.91,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
