"NEWPORT PAGNELL (LOVAT BANK)",,,,,,,,,,,,
Grid ref,SP876437,Long,-0.722983,Lat,52.084732,,,,,,,
Station no,1027/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.84,,,,,,,,,,,
February,3.55,,,,,,,,,,,
March,3.52,,,,,,,,,,,
April,3.05,,,,,,,,,,,
May,2.34,,,,,,,,,,,
June,1.18,,,,,,,,,,,
July,1.18,,,,,,,,,,,
August,3.09,,,,,,,,,,,
September,1.60,,,,,,,,,,,
October,1.08,,,,,,,,,,,
November,4.65,,,,,,,,,,,
December,1.78,,,,,,,,,,,
Total,29.86,,,,,,,,,,,
Calc annual,29.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
