"STRATHAVEN (DEANSIDE RES)",,,,,,,,,,,,
Grid ref,NS748373,Long,-3.989283,Lat,55.613136,,,,,,,
Station no,5193,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.45,7.73,2.79,5.42,2.42,2.90,5.66,4.55,1.47,4.68,,
February,3.84,1.61,1.93,2.98,1.31,1.63,2.41,3.15,2.28,3.56,,
March,3.68,2.10,1.03,3.26,1.51,2.92,4.16,1.26,2.52,2.07,,
April,5.11,3.35,2.37,1.98,2.45,1.32,2.57,1.78,3.57,3.65,,
May,1.95,2.39,2.73,3.39,3.49,2.52,2.56,2.96,1.26,1.81,,
June,3.29,3.35,1.41,4.10,2.22,3.28,2.38,2.45,3.79,1.85,,
July,4.28,3.64,5.43,4.56,1.77,5.68,3.54,4.86,6.00,3.19,,
August,7.14,4.04,3.22,5.03,1.72,7.25,5.31,7.36,1.38,3.78,,
September,4.10,3.01,5.07,7.64,4.66,4.57,3.36,4.94,1.18,2.68,,
October,1.34,4.16,3.58,9.68,3.50,5.80,5.86,3.92,7.53,2.28,,
November,7.04,2.84,8.27,7.63,1.72,1.92,2.00,1.41,6.47,7.46,,
December,10.02,4.00,4.86,7.59,8.99,7.73,5.77,5.40,5.48,7.89,,
Total,58.24,42.22,42.69,63.26,35.76,47.52,45.58,44.04,42.93,44.90,,
Calc annual,58.24,42.22,42.69,63.26,35.76,47.52,45.58,44.04,42.93,44.90,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
