"MASHAM MOOR GREY RIDGE)",,,,,,,,,,,,
Grid ref,SE120756,Long,-1.817658,Lat,54.176049,,,,,,,
Station no,3407/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.66,5.75,0.96,2.98,3.62,5.44,4.60,4.20,5.99,6.70,,
February,7.85,1.98,2.85,3.89,2.47,2.46,4.00,7.17,0.22,6.53,,
March,6.02,3.39,0.55,3.14,2.17,1.35,2.54,2.50,2.54,2.79,,
April,2.25,2.00,2.75,0.61,1.06,1.86,0.33,0.75,4.10,2.57,,
May,7.55,1.45,2.03,3.79,2.88,0.85,1.48,5.60,1.02,1.67,,
June,1.79,1.87,3.34,2.32,2.00,3.40,1.73,4.11,1.50,1.46,,
July,1.71,1.39,4.16,2.65,1.00,5.43,3.80,4.07,2.05,6.58,,
August,6.33,3.95,4.28,6.43,1.63,7.43,6.52,3.10,0.70,3.72,,
September,2.35,4.85,3.38,4.15,1.77,4.03,4.48,2.90,0.25,4.04,,
October,1.60,5.48,3.12,7.89,2.23,2.27,4.46,3.56,5.03,8.67,,
November,11.50,2.27,2.38,7.92,3.06,0.77,2.28,0.97,6.77,7.25,,
December,8.25,3.00,2.27,4.38,5.23,5.63,4.36,4.82,10.61,5.88,,
Total,61.86,37.38,32.07,50.15,29.12,40.92,40.58,43.75,40.78,57.86,,
Calc annual,61.86,37.38,32.07,50.15,29.12,40.92,40.58,43.75,40.78,57.86,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
