"RUFFORD (PULMONARY HOSPITAL)",,,,,,,,,,,,
Grid ref,SD456164,Long,-2.824307,Lat,53.641270,,,,,,,
Station no,3010/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,3.61,1.51,2.67,3.06,4.02,2.67,3.23,3.00,4.09,,
February,2.54,1.17,0.86,3.11,2.10,0.60,3.57,5.93,0.35,2.15,,
March,4.29,1.77,1.20,2.09,1.57,0.56,2.65,1.94,1.54,1.23,,
April,1.63,2.85,2.57,1.04,1.77,1.83,0.55,1.04,3.17,1.66,,
May,2.88,2.47,1.89,2.53,2.57,1.35,2.09,4.29,1.62,2.20,,
June,1.05,2.25,1.79,2.58,5.10,1.51,1.79,3.17,3.77,1.35,,
July,1.66,1.92,3.98,5.19,0.96,4.30,4.69,3.29,3.89,5.17,,
August,4.73,3.21,4.09,4.48,1.22,12.43,5.56,4.25,1.11,5.77,,
September,2.37,3.98,3.60,4.12,4.01,3.21,5.78,4.60,0.45,3.24,,
October,1.02,4.07,1.48,7.25,2.37,2.22,5.09,3.30,3.54,2.99,,
November,7.79,2.29,4.63,5.38,1.81,1.55,2.00,1.68,5.81,7.08,,
December,7.33,2.47,1.38,3.93,3.68,3.09,3.36,3.49,7.50,3.98,,
Total,40.71,32.06,28.98,44.37,30.22,36.67,39.80,40.21,35.75,40.91,,
Calc annual,40.71,32.06,28.98,44.37,30.22,36.67,39.80,40.21,35.75,40.91,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
