"LOCH QUOICH (KINLOCHQUOICH)",,,,,,,,,,,,
Grid ref,NG971005,Long,-5.346898,Lat,57.050764,,,,,,,
Station no,5709,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,17.52,13.66,16.32,,6.85,,,,,,,
February,7.19,11.68,12.10,,5.90,,,,,,,
March,7.61,9.65,5.21,7.80,1.75,,,,,,,
April,10.86,5.85,8.75,3.10,6.55,,,,,,,
May,1.16,4.97,6.95,4.58,5.25,,,,,,,
June,4.15,9.41,1.80,8.42,6.25,,,,,,,
July,9.89,7.08,9.50,5.75,,,,,,,,
August,12.03,11.00,11.00,8.10,,,,,,,,
September,9.28,14.80,11.50,13.48,,,,,,,,
October,6.38,16.04,13.00,19.35,,,,,,,,
November,16.49,8.70,27.45,15.45,,,,,,,,
December,23.43,13.04,12.62,21.73,,,,,,,,
Total,125.99,125.88,136.20,,,,,,,,,
Calc annual,125.99,125.88,136.20,107.76,32.55,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
