"GREENOCK WW (COMPENSATION RES.)",,,,,,,,,,,,
Grid ref,NS248723,Long,-4.804669,Lat,55.911805,,,,,,,
Station no,5310/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.85,7.71,4.89,8.28,4.89,4.19,8.34,8.00,2.18,5.24,,
February,4.23,3.05,3.45,6.69,4.29,2.08,4.33,5.16,2.79,6.44,,
March,5.17,4.93,1.91,5.11,2.86,3.39,6.86,2.21,4.16,3.88,,
April,3.98,3.00,2.90,3.89,6.01,2.13,3.16,2.71,5.28,7.40,,
May,2.48,2.15,3.61,3.96,5.14,4.09,2.49,5.11,1.45,3.26,,
June,2.57,4.59,1.76,5.31,4.38,3.43,2.90,4.27,3.74,3.55,,
July,4.42,3.44,7.04,4.09,1.59,5.80,6.51,7.17,7.21,6.73,,
August,4.37,5.90,6.26,6.21,1.52,6.11,5.31,5.51,1.65,4.12,,
September,5.50,4.89,8.43,9.85,6.36,5.17,4.15,5.05,1.98,4.38,,
October,2.09,7.07,5.20,11.18,6.29,3.96,6.97,5.82,7.24,4.04,,
November,9.30,2.68,10.81,9.80,3.87,3.32,3.09,2.92,7.75,9.42,,
December,11.08,7.46,7.17,8.18,10.31,9.55,8.21,8.21,11.86,7.74,,
Total,62.04,56.87,63.43,82.55,57.51,53.22,62.32,62.14,57.29,66.20,,
Calc annual,62.04,56.87,63.43,82.55,57.51,53.22,62.32,62.14,57.29,66.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
