"CUPAR (CLATTO RESERVOIR)",,,,,,,,,,,,
Grid ref,NO366078,Long,-3.024972,Lat,56.258452,,,,,,,
Station no,5488/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.09,1.78,0.50,1.99,2.84,2.57,3.85,1.88,1.11,4.53,,
February,2.95,0.67,1.16,2.95,2.81,1.91,4.03,2.80,0.54,2.36,,
March,4.24,3.10,0.56,3.03,2.44,1.43,2.07,3.55,1.38,2.19,,
April,2.07,1.59,2.93,1.70,0.98,1.16,0.95,3.25,2.98,1.73,,
May,3.26,2.30,2.83,5.57,2.29,0.69,1.88,2.98,0.76,1.73,,
June,2.16,2.49,1.13,2.48,0.96,3.30,1.33,4.05,2.61,1.95,,
July,4.78,2.01,2.82,2.85,1.56,4.60,6.45,6.07,3.74,3.62,,
August,4.46,3.07,1.86,3.96,0.48,7.77,4.61,3.27,0.88,3.94,,
September,1.76,2.15,3.29,3.44,2.23,3.99,1.76,2.33,0.69,1.71,,
October,0.30,3.02,1.96,6.84,1.97,1.66,2.27,2.07,1.75,7.50,,
November,6.82,2.51,3.13,4.39,1.79,0.67,2.48,0.78,6.97,4.18,,
December,2.44,3.18,3.38,3.38,4.36,2.60,3.40,6.69,5.97,2.15,,
Total,40.33,27.87,25.55,42.58,24.71,32.35,35.08,39.72,29.38,37.59,,
Calc annual,40.33,27.87,25.55,42.58,24.71,32.35,35.08,39.72,29.38,37.59,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
