"RUGBY (CALDECOTT)",,,,,,,,,,,,
Grid ref,SP512748,Long,-1.249438,Lat,52.368864,,,,,,,
Station no,2462,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,,,,,,,,,,,
February,,0.56,,,,,,,,,,
March,,1.96,0.98,,,,,,,,,
April,,,1.30,,,,,,,,,
May,,,1.74,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,6.58,,,,,,,,,,,
September,1.25,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,1.65,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,11.80,2.52,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
