"LEE MOOR HOUSE",,,,,,,,,,,,
Grid ref,SX573628,Long,-4.011249,Lat,50.447642,,,,,,,
Station no,1641/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.89,6.13,2.03,3.44,8.56,6.43,6.78,7.36,,,,
February,6.51,1.22,2.73,7.00,4.92,0.51,8.65,6.15,,,,
March,7.29,7.26,1.09,6.02,2.16,2.43,6.84,3.52,,,,
April,3.64,4.85,3.80,1.07,2.94,1.74,0.77,1.39,,,,
May,3.26,2.89,5.78,4.70,6.35,1.77,3.42,5.44,,,,
June,1.80,2.65,6.45,6.21,4.11,4.46,3.78,3.96,,,,
July,2.05,2.12,6.38,6.65,1.29,7.09,7.07,6.44,,,,
August,9.92,6.94,3.72,5.10,0.14,7.35,6.04,8.55,,,,
September,7.45,4.32,4.36,7.94,2.96,8.67,6.94,9.14,,,,
October,1.27,6.91,5.10,8.15,4.03,3.34,5.20,6.53,,,,
November,9.48,5.54,4.18,12.78,6.71,2.63,3.56,4.78,,,,
December,5.52,6.10,1.22,6.41,8.73,9.05,5.63,6.66,,,,
Total,66.08,56.93,46.84,75.47,52.90,55.47,64.68,69.92,,,,
Calc annual,66.08,56.93,46.84,75.47,52.90,55.47,64.68,69.92,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,,
