"DUNFORD BRIDGE RES.",,,,,,,,,,,,
Grid ref,SE151023,Long,-1.773743,Lat,53.517161,,,,,,,
Station no,3162/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.48,7.68,3.07,5.35,3.52,8.08,4.93,6.04,5.94,7.13,,
February,6.15,2.22,2.77,4.40,3.18,2.71,5.11,7.61,0.46,4.26,,
March,7.50,2.89,3.54,3.48,3.87,2.76,4.67,3.59,2.68,2.70,,
April,3.72,3.21,4.33,0.94,2.29,3.31,0.46,1.66,6.61,3.35,,
May,4.38,2.57,2.83,5.04,5.64,1.79,1.91,4.45,1.71,2.41,,
June,1.17,3.04,4.33,2.85,4.01,3.77,1.45,5.89,2.00,2.09,,
July,3.53,2.31,6.37,5.94,1.18,9.31,4.80,5.26,4.30,7.21,,
August,6.86,3.77,5.12,7.78,0.93,11.48,7.80,4.00,1.26,4.89,,
September,3.37,6.05,3.53,6.60,2.14,5.12,7.19,4.94,0.28,4.12,,
October,1.25,7.51,2.74,9.21,3.97,3.92,6.75,4.86,5.04,8.19,,
November,12.34,3.65,5.21,9.14,2.78,3.08,3.74,1.49,6.42,7.89,,
December,10.88,4.98,2.74,10.59,7.86,7.71,7.83,6.05,11.09,7.72,,
Total,67.63,49.88,46.58,71.32,41.37,63.04,56.64,55.84,47.79,61.96,,
Calc annual,67.63,49.88,46.58,71.32,41.37,63.04,56.64,55.84,47.79,61.96,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
