"BOWLAND FOREST (WHITERAY NO44)",,,,,,,,,,,,
Grid ref,SD678613,Long,-2.493260,Lat,54.046653,,,,,,,
Station no,3044/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.90,9.38,,
February,,,,,,,,,1.52,8.68,,
March,,,,,,,,,4.37,2.48,,
April,,,,,,,,,5.30,6.25,,
May,,,,,,,,,1.92,2.11,,
June,,,,,,,,,3.89,3.28,,
July,,,,,,,,,4.37,11.02,,
August,,,,,,,,,0.82,5.72,,
September,,,,,,,,,0.65,4.75,,
October,,,,,,,,,7.20,5.85,,
November,,,,,,,,,8.86,14.35,,
December,,,,,,,,,14.04,9.12,,
Total,,,,,,,,,57.84,82.99,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.84,82.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
