"ALTON (TRELOAR ORTHOPAEDIC HOSPITAL)",,,,,,,,,,,,
Grid ref,SU703382,Long,-0.996539,Lat,51.138763,,,,,,,
Station no,744/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,2.87,1.04,2.19,3.13,4.80,2.76,3.64,3.66,4.12,,
February,6.79,1.02,1.74,2.97,1.43,0.24,4.38,2.67,0.29,3.59,,
March,5.23,3.11,0.67,3.16,1.31,1.14,1.90,1.58,3.18,1.63,,
April,3.23,2.21,1.99,0.35,0.40,1.37,0.16,0.95,4.09,0.95,,
May,3.00,3.73,2.46,2.07,4.92,0.30,1.43,2.41,0.74,1.30,,
June,1.60,1.73,2.30,3.23,2.92,2.35,0.98,3.41,0.78,2.14,,
July,2.88,0.94,2.89,3.11,1.79,4.25,4.24,1.70,2.60,4.24,,
August,5.40,3.86,1.70,2.87,0.86,4.35,3.13,4.13,2.28,4.05,,
September,3.44,3.25,2.99,3.37,1.71,3.54,3.21,5.44,0.10,4.70,,
October,0.86,4.72,4.14,2.77,5.08,2.95,2.23,2.99,3.25,10.16,,
November,9.33,4.40,1.74,6.21,3.35,0.76,3.45,2.76,3.82,6.30,,
December,3.27,2.63,0.96,3.15,3.72,5.62,3.03,3.59,7.45,4.70,,
Total,49.13,34.47,24.62,35.45,30.62,31.67,30.90,35.27,32.24,47.88,,
Calc annual,49.13,34.47,24.62,35.45,30.62,31.67,30.90,35.27,32.24,47.88,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
