"ST. ANNS HEAD (COAST GUARD STATION)  PEMBROKE",,,,,,,,,,,,
Grid ref,SM806030,Long,-5.175195,Lat,51.682788,,,,,,,
Station no,4114/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.48,,,,,,,,,,,
February,3.77,,,,,,,,,,,
March,4.88,,,,,,,,,,,
April,2.75,,,,,,,,,,,
May,2.47,,,,,,,,,,,
June,0.88,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,19.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
